# 이미지-단어 매핑 요약
# 형식: 이미지파일명 | 단어 | card_id
# ============================================================

## 1.png (1.txt)
1_1.png      | Articulate           | 2caa0b2a...
1_2.png      | Coherent             | 659726be...
1_3.png      | Candid               | 88862819...
1_4.png      | Frank                | 6677655b...
1_5.png      | Logical              | a53a36d8...
1_6.png      | Rational             | 3650141b...
1_7.png      | Lucid                | 8b918ea2...
1_8.png      | Subjective           | 0a8d967e...
1_9.png      | Objective            | c2b3efa1...
1_10.png     | Ambiguous            | d3ecd33d...
1_11.png     | Fallacious           | 4c3bda1e...
1_12.png     | Vague                | 1381858e...
1_13.png     | Incoherent           | 6a00292e...
1_14.png     | Irrational           | 58b1d28d...
1_15.png     | Valid                | 3be5c7a3...
1_16.png     | Sound                | fb784c1f...
1_17.png     | Explicit             | 140d2d35...
1_18.png     | Implicit             | 7c47d358...
1_19.png     | Subtle               | 54ee95b1...
1_20.png     | Nuanced              | 6c6f65b3...
1_21.png     | Relevant             | c677161d...
1_22.png     | Incidental           | 774ccb9f...
1_23.png     | Irrelevant           | 7ef99542...
1_24.png     | Precise              | 807740b8...
1_25.png     | Accurate             | 3a7ec700...
1_26.png     | Misleading           | b23693d5...
1_27.png     | Deceptive            | e0b38585...
1_28.png     | Direct               | 40c90d87...
1_29.png     | Indirect             | a0c8fa31...
1_30.png     | Obscure              | d473628b...
1_31.png     | Clear-cut            | c7a7dad8...
1_32.png     | Eloquent             | 1808e718...
1_33.png     | Resonant             | acb34d17...
1_34.png     | Spontaneous          | f6abbc8b...
1_35.png     | Improvised           | 439dbf22...
1_36.png     | Stutter              | ac39e85d...
1_37.png     | Stammer              | 99b087c0...
1_38.png     | Mumble               | a2ae70b9...
1_39.png     | Rambling             | 0dd1c4ac...
1_40.png     | Slur                 | e8e3a97d...
1_41.png     | Deliberate           | 50756213...
1_42.png     | Fluent               | b1e4c2d4...
1_43.png     | Monotone             | b4e67c19...
1_44.png     | Expressive           | 0d58c2eb...
1_45.png     | Dynamic              | 7ad76e77...
1_46.png     | Animated             | 22576211...
1_47.png     | Audible              | ab975b6f...
1_48.png     | Inaudible            | 5acdd0b2...
1_49.png     | Shrill               | c7d3398e...
1_50.png     | Husky                | 6f42b7b0...
1_51.png     | Soft-spoken          | 554610f0...
1_52.png     | Outspoken            | 01e7b563...
1_53.png     | Vocal                | d96ceccd...
1_54.png     | Silver-tongued       | 945f4f8c...
1_55.png     | Tongue-tied          | 47ba30ed...
1_56.png     | Hesitant             | 1e8c60e1...
1_57.png     | Pausing              | d499e3b4...
1_58.png     | Rhythmic             | 15e034e2...
1_59.png     | Fast-paced           | 45b82386...
1_60.png     | Measured             | 2513567c...
1_61.png     | Assertive            | 81c13518...
1_62.png     | Polite               | eb0a60b0...
1_63.png     | Enthusiastic         | cd81e24c...
1_64.png     | Humble               | 44763a01...

## 2.png (2.txt)
2_1.png      | Aggressive           | 20d513c9...
2_2.png      | Tender               | 2788f9b5...
2_3.png      | Condescending        | 4a05c177...
2_4.png      | Passive              | 5a7ae911...
2_5.png      | Patronizing          | 2ab67fce...
2_6.png      | Defensive            | e6a7ed6a...
2_7.png      | Sarcastic            | 559b8506...
2_8.png      | Haughty              | 02f9624e...
2_9.png      | Insincere            | d5f8afab...
2_10.png     | Apathetic            | c3cec62f...
2_11.png     | Arrogant             | d13f6389...
2_12.png     | Rude                 | d5ccb6d5...
2_13.png     | Flippant             | 0d7340cd...
2_14.png     | Offensive            | 9092caf0...
2_15.png     | Cynical              | 4fb18489...
2_16.png     | Ironic               | 322c84f6...
2_17.png     | Sympathetic          | 0e7dd8b0...
2_18.png     | Hypocritical         | 9cde290a...
2_19.png     | Empathetic           | b3118a72...
2_20.png     | Hostile              | 1b39d9e9...
2_21.png     | Friendly             | 380596aa...
2_22.png     | Cold                 | 86553075...
2_23.png     | Distant              | 8c9d3e29...
2_24.png     | Indifferent          | 8215771f...
2_25.png     | Sincere              | a17c9be1...
2_26.png     | Earnest              | 835463b8...
2_27.png     | Respectful           | e89f8ef2...
2_28.png     | Concise              | 6e8c318c...
2_29.png     | Brief                | 74b6ee3d...
2_30.png     | Succinct             | fe75bdfd...
2_31.png     | Laconic              | dbde9c12...
2_32.png     | Reticent             | be2177c7...
2_33.png     | Taciturn             | 7bb839fb...
2_34.png     | tacit [tǽsit]        | 5ac7b802...
2_35.png     | Pithy                | a3bf5661...
2_36.png     | Wordy                | 71683d26...
2_37.png     | Terse                | 5d9848da...
2_38.png     | Loquacious           | 698df5f7...
2_39.png     | Verbose              | 16d8da2f...
2_40.png     | Long-winded          | 6c0228cf...
2_41.png     | Garrulous            | 98e88d13...
2_42.png     | Comprehensive        | ff63ff49...
2_43.png     | Chatty               | 745186b8...
2_44.png     | Talkative            | a3661352...
2_45.png     | Silent               | 676b4789...
2_46.png     | Detailed             | f0b56988...
2_47.png     | Elaborate            | 32c14984...
2_48.png     | Exhaustive           | df30aece...
2_49.png     | Sketchy              | b5f83605...
2_50.png     | Summarized           | d3e25fe5...
2_51.png     | Abbreviated          | c4b941d0...
2_52.png     | Redundant            | df0fed75...
2_53.png     | Meandering           | 4a80de19...
2_54.png     | Repetitive           | 5cd10bc9...
2_55.png     | Digressive           | 9238ae66...
2_56.png     | To the point         | 0f3dd96a...
2_57.png     | Curt                 | 351a11c6...
2_58.png     | Economy of words     | 617ef1c9...
2_59.png     | Persuasive           | 51250d87...
2_60.png     | Convincing           | 45e75223...
2_61.png     | Compelling           | 13eac54b...
2_62.png     | Coercive             | cfa9962b...
2_63.png     | coercion             | 814bf26d...
2_64.png     | arcane               | 56345925...

## 3.png (3.txt)
3_1.png      | Accusatory           | f2a6a14a...
3_2.png      | Flattering           | 5d66e1e0...
3_3.png      | Defiant              | bfebe675...
3_4.png      | Contentious          | 1c5cd5db...
3_5.png      | contend              | 2f82a348...
3_6.png      | Blunt                | 36869451...
3_7.png      | Conciliatory         | 9a182e69...
3_8.png      | concil               | 533f89a5...
3_9.png      | council              | 94c78ea2...
3_10.png     | Critical             | eaec7c4b...
3_11.png     | Sycophantic          | d47fe7c6...
3_12.png     | Complimentary        | ff2471c8...
3_13.png     | complement           | 60c5b308...
3_14.png     | Manipulative         | 892d82e1...
3_15.png     | Influential          | d4017ef0...
3_16.png     | Critical             | eaec7c4b...
3_17.png     | Judgmental           | 11f16482...
3_18.png     | Apologetic           | 2336f1e0...
3_19.png     | Agreeable            | 1537ad0b...
3_20.png     | Disagreeable         | 3f3a59d6...
3_21.png     | Argumentative        | ae95b49f...
3_22.png     | Diplomatic           | 495cc63e...
3_23.png     | Tactful              | 320dcfae...
3_24.png     | Harsh                | ebfb628e...
3_25.png     | Gentle               | 4833f7ba...
3_26.png     | Encouraging          | 184578d1...
3_27.png     | Discouraging         | 5c37c273...
3_28.png     | Inspiring            | b867aaaf...
3_29.png     | Demotivating         | b2723429...
3_30.png     | Constructive         | 2db1ccfc...
3_31.png     | Destructive          | 7239ee1d...
3_32.png     | Ornate               | d74d3de2...
3_33.png     | Dapper               | dcddb5fc...
3_34.png     | Eclectic             | 40dbb788...
3_35.png     | Vibrant              | 4e5fc110...
3_36.png     | Opaque               | 31d338d4...
3_37.png     | Translucent          | 05fa5481...
3_38.png     | Streamlined          | 217e87e9...
3_39.png     | Bohemian (Boho)      | ca1c1d9c...
3_40.png     | Sleek                | 2dfbf5f8...
3_41.png     | Chic                 | a1b1bb20...
3_42.png     | Vintage              | 53f8cc15...
3_43.png     | Retro                | 792d9750...
3_44.png     | Curvaceous           | 64621b0d...
3_45.png     | Angular              | e02302e7...
3_46.png     | Avant-garde          | 92dfa1d9...
3_47.png     | Preppy               | 66c5ca7f...
3_48.png     | Minimalist           | 0868551b...
3_49.png     | Rustic               | c122d5c8...
3_50.png     | Futuristic           | 0849bfc3...
3_51.png     | Geometric            | d7eb500b...
3_52.png     | Delicate             | 80758a03...
3_53.png     | Monochrome           | 4be6217c...
3_54.png     | Muted                | 5079ddfd...
3_55.png     | Glossy               | 7f616597...
3_56.png     | Matte                | 72178c98...
3_57.png     | Textured             | 1b172a82...
3_58.png     | Asymmetrical         | a7d2e125...
3_59.png     | Bulky                | 4dc7ca3b...
3_60.png     | Compact              | 855bac37...
3_61.png     | Bold                 | 804a1596...
3_62.png     | Exquisite            | e757f6bc...
3_63.png     | Opulent              | 77e8c706...
3_64.png     | Sophisticated        | 06b19e35...

## 4.png (4.txt)
4_1.png      | Resplendent          | ea115463...
4_2.png      | Ethereal             | e871da84...
4_3.png      | Classy               | 284bfd6c...
4_4.png      | Alluring             | 510294ac...
4_5.png      | Gaudy                | add8d957...
4_6.png      | Tacky                | 087143e2...
4_7.png      | Kitsch               | 087e6879...
4_8.png      | Garish               | 9cfbe282...
4_9.png      | Dowdy                | 94ab2f57...
4_10.png     | Frumpy               | b1263c09...
4_11.png     | Drab                 | 93b0959b...
4_12.png     | Timeless             | b63a0ee8...
4_13.png     | Graceful             | e426b027...
4_14.png     | Elegant              | c19db3d3...
4_15.png     | Sublime              | c2601b1d...
4_16.png     | Majestic             | f59982b2...
4_17.png     | Ostentatious         | 854e1048...
4_18.png     | Mundane              | 567cae1a...
4_19.png     | Tasteful             | bab073f6...
4_20.png     | Loud                 | 3b7ad0e2...
4_21.png     | Grotesque            | 46baca49...
4_22.png     | Hideous              | 90907eae...
4_23.png     | Iconic               | d7dcffed...
4_24.png     | Stunning             | 17f5ea08...
4_25.png     | Radiant              | 500eb93a...
4_26.png     | Refined              | cbec6a8f...
4_27.png     | Charming             | 951b0243...
4_28.png     | Delicious            | 4ca2d456...
4_29.png     | Savory               | 82ecadac...
