영어단어,한글단어설명,예문1,예문2,category,deck_group
Articulate,"조리 있는, 분명한",She is an articulate speaker who explains complex ideas well. (그녀는 복잡한 아이디어를 잘 설명하는 조리 있는 연사입니다.),He struggled to articulate his feelings to her. (그녀에게 자신의 감정을 분명히 표현하는 데 애를 먹었습니다.),COMMUNICATION,LOGIC_CLARITY
Coherent,"일관성 있는, 앞뒤가 맞는",The witness gave a coherent account of the incident. (목격자는 사건에 대해 앞뒤가 맞는 설명을 했습니다.),Communication,COMMUNICATION,LOGIC_CLARITY
Candid,솔직한 (숨김없는),"To be candid, I don't like the new design. (솔직히 말해서, 나는 새 디자인이 마음에 들지 않습니다.)",It was a candid interview with the movie star. (그것은 영화배우와의 솔직한 인터뷰였습니다.),COMMUNICATION,LOGIC_CLARITY
Frank,"노골적인, 솔직한",Let's have a frank conversation about our future. (우리의 미래에 대해 터놓고 솔직한 대화를 나눕시다.),He was quite frank about his past failures. (그는 자신의 과거 실패에 대해 꽤 솔직했습니다.),COMMUNICATION,LOGIC_CLARITY
Logical,논리적인,Try to approach the problem in a logical way. (논리적인 방식으로 문제에 접근해 보세요.),That is the only logical conclusion we can make. (그것이 우리가 내릴 수 있는 유일한 논리적 결론입니다.),COMMUNICATION,LOGIC_CLARITY
Rational,"이성적인, 합리적인",Let's have a rational discussion about this issue. (이 문제에 대해 이성적인 토론을 합시다.),"His fears were not rational, but purely emotional. (그의 두려움은 합리적이지 않았고, 순전히 감정적이었습니다.)",COMMUNICATION,LOGIC_CLARITY
Lucid,"명쾌한, 알기 쉬운",The professor gave a lucid explanation of the theory. (교수님은 그 이론에 대해 명쾌한 설명을 해주셨습니다.),She had a lucid moment despite her illness. (그녀는 병환에도 불구하고 정신이 맑은 순간이 있었습니다.),COMMUNICATION,LOGIC_CLARITY
Subjective,주관적인,Taste in art is highly subjective. (예술에 대한 취향은 매우 주관적입니다.),That is a subjective interpretation of the poem. (그것은 그 시에 대한 주관적인 해석입니다.),COMMUNICATION,LOGIC_CLARITY
Objective,객관적인,We need an objective opinion from an outsider. (우리는 외부인의 객관적인 의견이 필요합니다.),Reporters should remain objective when covering news. (기자들은 뉴스를 다룰 때 객관성을 유지해야 합니다.),COMMUNICATION,LOGIC_CLARITY
Ambiguous,모호한 (두 가지 해석 가능),The ending of the movie was ambiguous and open to interpretation. (영화의 결말은 모호하여 해석의 여지가 있었습니다.),"His reply was ambiguous, so I wasn't sure what he meant. (그의 대답은 모호해서 무슨 뜻인지 확신할 수 없었습니다.)",COMMUNICATION,LOGIC_CLARITY
